id,word
8,admirable
9,adorable
20,amazing
33,attractive
37,awesome
39,beautiful
41,beneficent
50,bright
51,brilliant
59,charming
62,cheerful
63,chic
67,colorful
68,comedic
70,comfortable
80,congenial
90,courageous
92,cozy
95,cute
97,decent
104,delightful
119,distinctive
123,ecstatic
124,efficient
126,elegant
127,eloquent
128,enchanted
129,encouraging
130,energetic
132,enlightened
134,entertaining
135,enthusiastic
140,excellent
141,extraordinary
142,exultant
143,fabulous
146,fantastic
147,fascinating
148,fashionable
151,fine
158,fruitful
159,fun
160,funny
161,gallant
162,generous
163,genial
165,gentle
167,glad
169,godly
171,good
172,goodhearted
173,gorgeous
174,gracious
176,grateful
177,great
181,happy
183,harmonious
186,heavenly
189,heroic
190,hilarious
191,hopeful
193,humorous
194,imaginative
195,immaculate
197,important
198,impressive
202,ingenious
204,inspired
205,intelligent
207,inventive
208,jolly
209,joyful
210,jubilant
214,knowledgeable
215,laudable
221,likeable
222,lively
225,lovely
228,lucky
232,masterly
236,merry
239,mindful
246,nice
248,noble
253,passionate
255,perfect
257,persuasive
260,playful
261,pleasant
264,positive
265,powerful
268,precious
269,priceless
270,privileged
271,productive
273,profound
279,prudent
289,rejoicing
290,relaxed
293,remarkable
296,respectful
298,responsible
302,rich
304,righteous
306,romantic
310,saintly
311,satisfied
316,sensual
319,sexy
327,sophisticated
334,splendid
336,spontaneous
341,strong
343,stylish
347,successful
349,superb
350,sweet
356,terrific
363,tough
367,unique
371,vigorous
372,virtuous
373,visionary
375,warm
382,wonderful
384,worthy
